RunDesignationLookUpID,RunDesignation,LookupDate,MinLength1,MaxLength1,MinLength2,MaxLength2,s_ColLineage,s_Generation,s_Lineage
{F5EAE88A-6FA4-11D3-9889-00C04FF8FAEB},F,05/27,49,107,0,0,,1,
{F5EAE88B-6FA4-11D3-9889-00C04FF8FAEB},F,05/28,49,107,0,0,,1,
{F5EAE88C-6FA4-11D3-9889-00C04FF8FAEB},F,05/29,50,108,0,0,,1,
{F5EAE88D-6FA4-11D3-9889-00C04FF8FAEB},F,05/30,50,109,0,0,,1,
{F5EAE88E-6FA4-11D3-9889-00C04FF8FAEB},F,05/31,50,110,0,0,,1,
{F5EAE88F-6FA4-11D3-9889-00C04FF8FAEB},F,06/01,51,110,0,0,,1,
{F5EAE890-6FA4-11D3-9889-00C04FF8FAEB},F,06/02,51,111,0,0,,1,
{F5EAE891-6FA4-11D3-9889-00C04FF8FAEB},F,06/03,51,112,0,0,,1,
{F5EAE892-6FA4-11D3-9889-00C04FF8FAEB},F,06/04,51,112,0,0,,1,
{F5EAE893-6FA4-11D3-9889-00C04FF8FAEB},F,06/05,52,113,0,0,,1,
{F5EAE894-6FA4-11D3-9889-00C04FF8FAEB},F,06/06,52,114,0,0,,1,
{F5EAE895-6FA4-11D3-9889-00C04FF8FAEB},F,06/07,52,115,0,0,,1,
{F5EAE896-6FA4-11D3-9889-00C04FF8FAEB},F,06/08,53,115,0,0,,1,
{F5EAE897-6FA4-11D3-9889-00C04FF8FAEB},F,06/09,53,116,0,0,,1,
{F5EAE898-6FA4-11D3-9889-00C04FF8FAEB},F,06/10,54,117,0,0,,1,
{F5EAE899-6FA4-11D3-9889-00C04FF8FAEB},F,06/11,54,118,0,0,,1,
{F5EAE89A-6FA4-11D3-9889-00C04FF8FAEB},F,06/12,54,119,0,0,,1,
{F5EAE89B-6FA4-11D3-9889-00C04FF8FAEB},F,06/13,55,119,0,0,,1,
{F5EAE89C-6FA4-11D3-9889-00C04FF8FAEB},F,06/14,55,120,0,0,,1,
{F5EAE89D-6FA4-11D3-9889-00C04FF8FAEB},F,06/15,55,121,0,0,,1,
{F5EAE89E-6FA4-11D3-9889-00C04FF8FAEB},F,06/16,56,122,0,0,,1,
{F5EAE89F-6FA4-11D3-9889-00C04FF8FAEB},F,06/17,56,123,0,0,,1,
{F5EAE8A0-6FA4-11D3-9889-00C04FF8FAEB},F,06/18,56,123,0,0,,1,
{F5EAE8A1-6FA4-11D3-9889-00C04FF8FAEB},F,06/19,57,124,0,0,,1,
{F5EAE8A2-6FA4-11D3-9889-00C04FF8FAEB},F,06/20,57,125,0,0,,1,
{F5EAE8A3-6FA4-11D3-9889-00C04FF8FAEB},F,06/21,57,126,0,0,,1,
{F5EAE8A4-6FA4-11D3-9889-00C04FF8FAEB},F,06/22,58,127,0,0,,1,
{F5EAE8A5-6FA4-11D3-9889-00C04FF8FAEB},F,06/23,58,127,0,0,,1,
{F5EAE8A6-6FA4-11D3-9889-00C04FF8FAEB},F,06/24,59,128,0,0,,1,
{F5EAE8A7-6FA4-11D3-9889-00C04FF8FAEB},F,06/25,59,129,0,0,,1,
{F5EAE8A8-6FA4-11D3-9889-00C04FF8FAEB},F,06/26,59,130,0,0,,1,
{F5EAE8A9-6FA4-11D3-9889-00C04FF8FAEB},F,06/27,60,131,0,0,,1,
{F5EAE8AA-6FA4-11D3-9889-00C04FF8FAEB},F,06/28,60,132,0,0,,1,
{F5EAE8AB-6FA4-11D3-9889-00C04FF8FAEB},F,06/29,60,133,0,0,,1,
{F5EAE8AC-6FA4-11D3-9889-00C04FF8FAEB},F,06/30,61,133,0,0,,1,
{F5EAE8AD-6FA4-11D3-9889-00C04FF8FAEB},F,07/01,61,134,0,0,,1,
{F5EAE8AE-6FA4-11D3-9889-00C04FF8FAEB},F,07/02,62,135,0,0,,1,
{F5EAE8AF-6FA4-11D3-9889-00C04FF8FAEB},F,07/03,62,136,0,0,,1,
{F5EAE8B0-6FA4-11D3-9889-00C04FF8FAEB},F,07/04,62,137,0,0,,1,
{F5EAE8B1-6FA4-11D3-9889-00C04FF8FAEB},F,07/05,63,138,0,0,,1,
{F5EAE8B2-6FA4-11D3-9889-00C04FF8FAEB},F,07/06,63,139,0,0,,1,
{F5EAE8B3-6FA4-11D3-9889-00C04FF8FAEB},F,07/07,64,140,0,0,,1,
{F5EAE8B4-6FA4-11D3-9889-00C04FF8FAEB},F,07/08,64,141,0,0,,1,
{F5EAE8B5-6FA4-11D3-9889-00C04FF8FAEB},F,07/09,65,142,0,0,,1,
{F5EAE8B6-6FA4-11D3-9889-00C04FF8FAEB},F,07/10,65,143,0,0,,1,
{F5EAE8B7-6FA4-11D3-9889-00C04FF8FAEB},F,07/11,65,143,0,0,,1,
{F5EAE8B8-6FA4-11D3-9889-00C04FF8FAEB},F,07/12,66,144,0,0,,1,
{F5EAE8B9-6FA4-11D3-9889-00C04FF8FAEB},F,07/13,66,145,0,0,,1,
{F5EAE8BA-6FA4-11D3-9889-00C04FF8FAEB},F,07/14,67,146,0,0,,1,
{F5EAE8BB-6FA4-11D3-9889-00C04FF8FAEB},F,07/15,67,147,0,0,,1,
{F5EAE8BC-6FA4-11D3-9889-00C04FF8FAEB},F,07/16,68,148,0,0,,1,
{F5EAE8BD-6FA4-11D3-9889-00C04FF8FAEB},F,07/17,68,149,0,0,,1,
{F5EAE8BE-6FA4-11D3-9889-00C04FF8FAEB},F,07/18,68,150,0,0,,1,
{F5EAE8BF-6FA4-11D3-9889-00C04FF8FAEB},F,07/19,69,151,0,0,,1,
{F5EAE8C0-6FA4-11D3-9889-00C04FF8FAEB},F,07/20,69,152,0,0,,1,
{F5EAE8C1-6FA4-11D3-9889-00C04FF8FAEB},F,07/21,70,153,0,0,,1,
{F5EAE8C2-6FA4-11D3-9889-00C04FF8FAEB},F,07/22,70,154,0,0,,1,
{F5EAE8C3-6FA4-11D3-9889-00C04FF8FAEB},F,07/23,71,155,0,0,,1,
{F5EAE8C4-6FA4-11D3-9889-00C04FF8FAEB},F,07/24,71,156,0,0,,1,
{F5EAE8C5-6FA4-11D3-9889-00C04FF8FAEB},F,07/25,72,157,0,0,,1,
{F5EAE8C6-6FA4-11D3-9889-00C04FF8FAEB},F,07/26,72,158,0,0,,1,
{F5EAE8C7-6FA4-11D3-9889-00C04FF8FAEB},F,07/27,73,159,0,0,,1,
{F5EAE8C8-6FA4-11D3-9889-00C04FF8FAEB},F,07/28,73,160,0,0,,1,
{F5EAE8C9-6FA4-11D3-9889-00C04FF8FAEB},F,07/29,73,161,0,0,,1,
{F5EAE8CA-6FA4-11D3-9889-00C04FF8FAEB},F,07/30,74,163,0,0,,1,
{F5EAE8CB-6FA4-11D3-9889-00C04FF8FAEB},F,07/31,74,164,0,0,,1,
{F5EAE8CC-6FA4-11D3-9889-00C04FF8FAEB},F,08/01,75,165,0,0,,1,
{F5EAE8CD-6FA4-11D3-9889-00C04FF8FAEB},F,08/02,75,166,0,0,,1,
{F5EAE8CE-6FA4-11D3-9889-00C04FF8FAEB},F,08/03,76,167,0,0,,1,
{F5EAE8CF-6FA4-11D3-9889-00C04FF8FAEB},F,08/04,76,168,0,0,,1,
{F5EAE8D0-6FA4-11D3-9889-00C04FF8FAEB},F,08/05,77,169,0,0,,1,
{F5EAE8D1-6FA4-11D3-9889-00C04FF8FAEB},F,08/06,77,170,0,0,,1,
{F5EAE8D2-6FA4-11D3-9889-00C04FF8FAEB},F,08/07,78,171,0,0,,1,
{F5EAE8D3-6FA4-11D3-9889-00C04FF8FAEB},F,08/08,78,172,0,0,,1,
{F5EAE8D4-6FA4-11D3-9889-00C04FF8FAEB},F,08/09,79,174,0,0,,1,
{F5EAE8D5-6FA4-11D3-9889-00C04FF8FAEB},F,08/10,79,175,0,0,,1,
{F5EAE8D6-6FA4-11D3-9889-00C04FF8FAEB},F,08/11,80,176,0,0,,1,
{F5EAE8D7-6FA4-11D3-9889-00C04FF8FAEB},F,08/12,80,177,0,0,,1,
{F5EAE8D8-6FA4-11D3-9889-00C04FF8FAEB},F,08/13,81,178,0,0,,1,
{F5EAE8D9-6FA4-11D3-9889-00C04FF8FAEB},F,08/14,81,179,0,0,,1,
{F5EAE8DA-6FA4-11D3-9889-00C04FF8FAEB},F,08/15,82,181,0,0,,1,
{F5EAE8DB-6FA4-11D3-9889-00C04FF8FAEB},F,08/16,83,182,0,0,,1,
{F5EAE8DC-6FA4-11D3-9889-00C04FF8FAEB},F,08/17,83,183,0,0,,1,
{F5EAE8DD-6FA4-11D3-9889-00C04FF8FAEB},F,08/18,84,184,0,0,,1,
{F5EAE8DE-6FA4-11D3-9889-00C04FF8FAEB},F,08/19,84,185,0,0,,1,
{F5EAE8DF-6FA4-11D3-9889-00C04FF8FAEB},F,08/20,85,187,0,0,,1,
{F5EAE8E0-6FA4-11D3-9889-00C04FF8FAEB},F,08/21,85,188,0,0,,1,
{F5EAE8E1-6FA4-11D3-9889-00C04FF8FAEB},F,08/22,86,189,0,0,,1,
{F5EAE8E2-6FA4-11D3-9889-00C04FF8FAEB},F,08/23,86,190,0,0,,1,
{F5EAE8E3-6FA4-11D3-9889-00C04FF8FAEB},F,08/24,87,192,0,0,,1,
{F5EAE8E4-6FA4-11D3-9889-00C04FF8FAEB},F,08/25,88,193,0,0,,1,
{F5EAE8E5-6FA4-11D3-9889-00C04FF8FAEB},F,08/26,88,194,0,0,,1,
{F5EAE8E6-6FA4-11D3-9889-00C04FF8FAEB},F,08/27,89,195,0,0,,1,
{F5EAE8E7-6FA4-11D3-9889-00C04FF8FAEB},F,08/28,89,197,0,0,,1,
{F5EAE8E8-6FA4-11D3-9889-00C04FF8FAEB},F,08/29,90,198,0,0,,1,
{F5EAE8E9-6FA4-11D3-9889-00C04FF8FAEB},F,08/30,90,199,0,0,,1,
{F5EAE8EA-6FA4-11D3-9889-00C04FF8FAEB},F,08/31,91,201,0,0,,1,
{F5EAE8EB-6FA4-11D3-9889-00C04FF8FAEB},F,09/01,92,202,0,0,,1,
{F5EAE8EC-6FA4-11D3-9889-00C04FF8FAEB},F,09/02,92,203,0,0,,1,
{F5EAE8ED-6FA4-11D3-9889-00C04FF8FAEB},F,09/03,93,205,0,0,,1,
{F5EAE8EE-6FA4-11D3-9889-00C04FF8FAEB},F,09/04,93,206,0,0,,1,
{F5EAE8EF-6FA4-11D3-9889-00C04FF8FAEB},F,09/05,94,207,0,0,,1,
{F5EAE8F0-6FA4-11D3-9889-00C04FF8FAEB},F,09/06,95,209,0,0,,1,
{F5EAE8F1-6FA4-11D3-9889-00C04FF8FAEB},F,09/07,95,210,0,0,,1,
{F5EAE8F2-6FA4-11D3-9889-00C04FF8FAEB},F,09/08,96,211,0,0,,1,
{F5EAE8F3-6FA4-11D3-9889-00C04FF8FAEB},F,09/09,96,213,0,0,,1,
{F5EAE8F4-6FA4-11D3-9889-00C04FF8FAEB},F,09/10,97,214,0,0,,1,
{F5EAE8F5-6FA4-11D3-9889-00C04FF8FAEB},F,09/11,98,216,0,0,,1,
{F5EAE8F6-6FA4-11D3-9889-00C04FF8FAEB},F,09/12,98,217,0,0,,1,
{F5EAE8F7-6FA4-11D3-9889-00C04FF8FAEB},F,09/13,99,218,0,0,,1,
{F5EAE8F8-6FA4-11D3-9889-00C04FF8FAEB},F,09/14,100,220,0,0,,1,
{F5EAE8F9-6FA4-11D3-9889-00C04FF8FAEB},F,09/15,100,221,0,0,,1,
{F5EAE8FA-6FA4-11D3-9889-00C04FF8FAEB},F,09/16,101,223,0,0,,1,
{F5EAE8FB-6FA4-11D3-9889-00C04FF8FAEB},F,09/17,102,224,0,0,,1,
{F5EAE8FC-6FA4-11D3-9889-00C04FF8FAEB},F,09/18,102,226,0,0,,1,
{F5EAE8FD-6FA4-11D3-9889-00C04FF8FAEB},F,09/19,103,227,0,0,,1,
{F5EAE8FE-6FA4-11D3-9889-00C04FF8FAEB},F,09/20,104,229,0,0,,1,
{F5EAE8FF-6FA4-11D3-9889-00C04FF8FAEB},F,09/21,104,230,0,0,,1,
{F5EAE900-6FA4-11D3-9889-00C04FF8FAEB},F,09/22,105,232,0,0,,1,
{F5EAE901-6FA4-11D3-9889-00C04FF8FAEB},F,09/23,106,233,0,0,,1,
{F5EAE902-6FA4-11D3-9889-00C04FF8FAEB},F,09/24,106,235,0,0,,1,
{F5EAE903-6FA4-11D3-9889-00C04FF8FAEB},F,09/25,107,236,0,0,,1,
{F5EAE904-6FA4-11D3-9889-00C04FF8FAEB},F,09/26,108,238,0,0,,1,
{F5EAE905-6FA4-11D3-9889-00C04FF8FAEB},F,09/27,108,239,0,0,,1,
{F5EAE906-6FA4-11D3-9889-00C04FF8FAEB},F,09/28,109,241,0,0,,1,
{F5EAE907-6FA4-11D3-9889-00C04FF8FAEB},F,09/29,110,243,0,0,,1,
{F5EAE908-6FA4-11D3-9889-00C04FF8FAEB},F,09/30,111,244,0,0,,1,
