SID,Date,h0800,h0900,h1000,h1100,h1200,h1300,h1400,h1500,h1600,h1700,h1800,h1900,h2000,h2100,h2200,h2300,h0000,h0100,h0200,h0300,h0400,h0500,h0600,h0700
346,12/12/23,6138,6138,6138,6116,6116,6138,6138,6116,6116,6116,6116,6116,6116,6138,6138,6138,6138,6138,6138,6116,6116,6116,6116,6116
347,12/13/23,6116,6138,6138,6138,6138,6138,6138,6138,6138,6116,6116,6116,6138,6138,6159,6159,6159,6181,6181,6159,6159,6159,6159,6159
348,12/14/23,6138,6138,6138,6159,6159,6159,6159,6159,6181,6181,6181,6159,6159,6159,6159,6159,6159,6159,6159,6138,6138,6116,6138,6138
349,12/15/23,6138,6138,6138,6138,6138,6159,6159,6159,6159,6159,6181,6159,6159,6159,6181,6159,6159,6159,6159,6159,6138,6138,6159,6138
350,12/16/23,6159,6138,6159,6159,6159,6159,6159,6138,6095,6073,6051,6073,6051,6051,6051,6095,6116,6138,6138,6138,6159,6159,6138,6138
351,12/17/23,6116,6116,6138,6138,6138,6159,6159,6159,6138,6138,6138,6138,6159,6159,6181,6159,6159,6159,6181,6181,6159,6159,6138,6116
352,12/18/23,6138,6116,6138,6138,6116,6116,6116,6116,6138,6116,6116,6138,6138,6159,6159,6159,6159,6159,6138,6159,6159,6202,6224,6267
353,12/19/23,6310,6353,6396,6440,6483,6547,6655,6784,7039,7369,7698,7775,7659,7717,8044,8484,8850,9108,9410,9726,10086,10594,11206,11962
354,12/20/23,12748,13222,13403,13385,13330,13167,12967,12712,12420,12182,11980,11778,11631,11483,11354,11188,11095,11021,10947,10854,10724,10575,10408,10296
355,12/21/23,10251,10251,10251,10266,10355,10538,10706,10873,10947,10891,10817,10743,10687,10613,10594,10650,10668,10650,10575,10464,10326,10266,10176,10101
356,12/22/23,10011,9922,9816,9681,9576,9455,9365,9259,9153,9062,8971,8880,8804,8728,8637,8542,8484,8408,8370,8313,8236,8159,8102,8025
357,12/23/23,7987,7929,7910,7871,7814,7794,7756,7717,7679,7679,7640,7621,7602,7544,7524,7505,7486,7447,7408,7389,7369,7350,7350,7331
358,12/24/23,7311,7272,7234,7214,7195,7175,7156,7136,7117,7097,7078,7058,7058,7039,7019,7019,7019,7019,7019,6978,6978,6978,6957,6935
359,12/25/23,6935,6914,6892,6892,6871,6871,6871,6871,6849,6828,6828,6828,6806,6806,6806,6828,6806,6806,6784,6784,6784,6784,6763,6763
360,12/26/23,6741,6741,6741,6720,6720,6698,6698,6698,6698,6677,6698,6698,6698,6677,6677,6677,6677,6677,6655,6655,6655,6655,6655,6655
361,12/27/23,6655,6655,6634,6634,6655,6634,6612,6612,6612,6612,6591,6591,6591,6591,6591,6591,6591,6591,6591,6591,6569,6569,6569,6591
362,12/28/23,6569,6569,6547,6569,6591,6612,6655,6698,6763,6828,6957,7019,7097,7156,7195,7253,7350,7447,7544,7717,7968,8236,8504,8759
363,12/29/23,8941,9093,9214,9365,9501,9636,9726,9771,9741,9696,9621,9546,9455,9380,9304,9229,9153,9093,9032,8956,8880,8820,8774,8744
364,12/30/23,8694,8675,8618,8580,8523,8504,8484,8542,8599,8656,8804,9093,9621,10464,11557,12420,13512,15274,18144,21463,23904,25152,25412,24739
365,12/31/23,22005,20409,19082,17947,17156,16520,15969,15506,15113,14701,14342,14000,13656,13330,13022,12767,12511,12292,12017,11760,11502,11299,11058,10891
